Sección,Jugador,PJ,PG,PE,PP,Goles,Asistencias,Amarillas,Rojas,MVP
--- HISTÓRICO GLOBAL ---,,,,,,,,,,
HISTÓRICO,Martinez,113,55,16,42,2,4,5,2,3
HISTÓRICO,Sparkov,107,55,20,32,135,24,7,1,7
HISTÓRICO,Menchaca,101,52,16,30,41,8,5,0,8
HISTÓRICO,Iza,100,49,16,35,28,6,12,4,4
HISTÓRICO,Blanco,93,49,15,29,7,6,2,0,6
HISTÓRICO,Pedemonte,90,48,15,27,38,20,19,2,10
HISTÓRICO,Bonilla,82,43,14,25,13,7,5,1,1
HISTÓRICO,Mateo,75,36,13,24,4,8,1,2,0
HISTÓRICO,Anzuatte,65,31,12,22,10,4,16,1,0
HISTÓRICO,Flores,58,33,12,13,2,0,4,0,0
HISTÓRICO,Olarte,48,21,5,22,2,0,3,0,2
HISTÓRICO,Colombo,43,25,4,14,3,0,1,0,0
HISTÓRICO,Da Silveira,41,19,10,13,4,4,7,1,0
HISTÓRICO,Dobal,39,19,7,13,4,7,3,1,3
HISTÓRICO,Bruno Silva,37,22,8,7,0,1,9,3,0
HISTÓRICO,Alvez,32,12,4,16,2,1,3,0,3
HISTÓRICO,Molina,25,10,1,14,1,0,2,0,2
HISTÓRICO,Rodriguez,22,15,3,4,7,0,2,0,0
HISTÓRICO,Luzardo,22,10,4,8,3,1,1,1,1
HISTÓRICO,De Leon,21,7,2,12,0,0,3,1,0
HISTÓRICO,Mari,20,9,1,10,4,3,2,0,1
HISTÓRICO,Cravino,17,8,2,7,8,7,0,0,2
HISTÓRICO,Fernandez,16,6,2,8,2,0,3,0,0
HISTÓRICO,Lorenzo,14,4,2,8,1,0,1,0,0
HISTÓRICO,Brito,11,6,1,4,1,0,0,0,0
HISTÓRICO,Valle,9,2,1,6,0,0,0,0,0
HISTÓRICO,Balestie,6,2,0,4,2,0,0,2,0
HISTÓRICO,Vigil,5,2,0,3,0,0,0,0,1
HISTÓRICO,Diego Rocca,4,3,0,1,0,0,0,0,0
HISTÓRICO,Gaston Silva,3,1,0,2,0,0,0,0,0
,,,,,,,,,,
--- ESTADÍSTICAS 2026 ---,,,,,,,,,,
TORNEO: Apertura,,,,,,,,,,
2026,Sparkov,3,2,0,1,4,2,0,0,2
2026,Mari,3,2,0,1,2,1,0,0,0
2026,Iza,3,2,0,1,1,0,1,0,0
2026,Colombo,3,2,0,1,1,0,0,0,0
2026,Olarte,3,2,0,1,0,0,0,0,0
2026,Bonilla,3,2,0,1,0,1,0,0,1
2026,Anzuatte,3,2,0,1,0,0,1,0,0
2026,Martinez,3,2,0,1,0,1,0,0,0
2026,Menchaca,3,2,0,1,0,0,2,0,0
2026,Blanco,2,1,0,1,0,0,0,0,0
2026,Flores,2,2,0,0,0,0,0,0,0
2026,Molina,1,0,0,1,0,0,0,0,0
2026,De Leon,1,0,0,1,0,0,0,0,0
2026,Pedemonte,1,1,0,0,0,0,0,0,0
,,,,,,,,,,
--- ESTADÍSTICAS 2025 ---,,,,,,,,,,
TORNEO: General,,,,,,,,,,
,,,,,,,,,,
--- ESTADÍSTICAS 2024 ---,,,,,,,,,,
TORNEO: General,,,,,,,,,,
,,,,,,,,,,
--- ESTADÍSTICAS 2023 ---,,,,,,,,,,
TORNEO: General,,,,,,,,,,
,,,,,,,,,,
--- ESTADÍSTICAS 2022 ---,,,,,,,,,,
TORNEO: General,,,,,,,,,,
,,,,,,,,,,
--- ESTADÍSTICAS 2021 ---,,,,,,,,,,
TORNEO: General,,,,,,,,,,
